step,chosen_phase,time_pct,actual_seconds,north_count,north_wait_norm,north_ev,south_count,south_wait_norm,south_ev,cityhall_count,cityhall_wait_norm,cityhall_ev,brudger_count,brudger_wait_norm,brudger_ev,estanislao_count,estanislao_wait_norm,estanislao_ev,ped_exists,ped_wait_norm,weather,day_norm,time_of_day
34,1,0.223,21,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.000
49,4,0.796,49,0.000,0.000,0.000,2.000,0.000,0.000,4.000,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.000
122,2,1.000,60,6.000,0.010,1.000,6.000,0.032,0.000,4.000,0.056,0.000,3.000,0.020,0.000,1.000,0.010,0.000,0.000,0.000,-1.000,0.000,0.000
142,0,1.000,60,1.000,0.000,0.000,9.000,0.211,1.000,4.000,0.167,0.000,4.000,0.199,0.000,5.000,0.189,0.000,1.000,0.032,-1.000,0.000,0.001
208,2,0.869,53,6.000,0.039,0.000,4.000,0.000,0.000,4.000,0.216,0.000,4.000,0.248,0.000,5.000,0.238,0.000,1.000,0.081,-1.000,0.000,0.002
271,3,0.806,50,0.000,0.000,0.000,6.000,0.154,0.000,4.000,0.377,0.000,4.000,0.409,0.000,5.000,0.400,0.000,1.000,0.243,-1.000,0.000,0.002
285,1,0.907,55,8.000,0.132,0.000,6.000,0.309,0.000,4.000,0.532,0.000,4.000,0.564,0.000,1.000,0.000,0.000,1.000,0.397,-1.000,0.000,0.003
310,3,1.000,60,8.000,0.167,0.000,6.000,0.343,0.000,4.000,0.566,0.000,4.000,0.591,0.000,4.000,0.022,1.000,1.000,0.431,-1.000,0.000,0.003
377,1,0.906,55,8.000,0.228,0.000,6.000,0.404,0.000,4.000,0.627,0.000,4.000,0.049,0.000,2.000,0.000,0.000,1.000,0.493,-1.000,0.000,0.003
383,1,1.000,60,8.000,0.392,0.000,6.000,0.569,0.000,4.000,0.792,0.000,2.000,0.000,1.000,4.000,0.159,0.000,1.000,0.657,-1.000,0.000,0.004
